PRODUCTID	PRODUCTNAME	PRODUCTGROUPCODE	PRODUCTGROUPNAME	INSTOCKFLAG	FULLPRICE
10056		AR	ARTWORK	Y	340
10057		AR	ARTWORK	Y	375
10058		AR	ARTWORK	Y	540
10059		AR	ARTWORK	Y	195
10060		AR	ARTWORK	Y	340
10061		AR	ARTWORK	Y	375
10062		AR	ARTWORK	Y	513
10063		AR	ARTWORK	Y	195
10064		AR	ARTWORK	Y	340
10065		AR	ARTWORK	Y	375
10066		AR	ARTWORK	Y	486
10067		AR	ARTWORK	Y	195
10068		AR	ARTWORK	Y	306
10069		AR	ARTWORK	N	195
10070		AR	ARTWORK	N	340
10071		AR	ARTWORK	N	337
10072		AR	ARTWORK	Y	195
10073		AR	ARTWORK	Y	340
10074		AR	ARTWORK	Y	195
10075		AR	ARTWORK	Y	340
10076		AR	ARTWORK	Y	375
10077		AR	ARTWORK	Y	540
10078		AR	ARTWORK	Y	195
10079		AR	ARTWORK	Y	340
10080		AR	ARTWORK	Y	375
10081		AR	ARTWORK	Y	432
10082		AR	ARTWORK	Y	195
10083		AR	ARTWORK	Y	340
10084		AR	ARTWORK	Y	375
10085		AR	ARTWORK	Y	540
10086		AR	ARTWORK	Y	195
10087		AR	ARTWORK	Y	195
10088		AR	ARTWORK	Y	306
10089		AR	ARTWORK	Y	375
10090		AR	ARTWORK	Y	195
10091		AR	ARTWORK	Y	340
10092		AR	ARTWORK	Y	375
10093		AR	ARTWORK	Y	540
10094		AR	ARTWORK	Y	195
10095		AR	ARTWORK	Y	306
10096		AR	ARTWORK	Y	375
10097		AR	ARTWORK	Y	319
10098		AR	ARTWORK	Y	195
10099		AR	ARTWORK	Y	306
10100		AR	ARTWORK	Y	337
10101		AR	ARTWORK	Y	195
10102		AR	ARTWORK	Y	306
10103		AR	ARTWORK	Y	340
10104		AR	ARTWORK	Y	486
10105		AR	ARTWORK	Y	195
10106		AR	ARTWORK	Y	323
10107		AR	ARTWORK	Y	375
10108		AR	ARTWORK	Y	540
10109		AR	ARTWORK	Y	195
10110		AR	ARTWORK	Y	195
10111		AR	ARTWORK	Y	340
10112		AR	ARTWORK	Y	375
10113		AR	ARTWORK	Y	513
10114		AR	ARTWORK	Y	195
10115		AR	ARTWORK	Y	340
10116		AR	ARTWORK	Y	375
10117		AR	ARTWORK	Y	540
10118		AR	ARTWORK	Y	340
10119		AR	ARTWORK	Y	375
10120		AR	ARTWORK	Y	540
10121		AR	ARTWORK	Y	195
10122		AR	ARTWORK	Y	340
10123		AR	ARTWORK	Y	195
10124		AR	ARTWORK	Y	340
10125		AR	ARTWORK	Y	337
10126		AR	ARTWORK	Y	513
10127		AR	ARTWORK	Y	195
10128		AR	ARTWORK	Y	500
10129		AR	ARTWORK	Y	675
10130		AR	ARTWORK	Y	645
10131		AR	ARTWORK	Y	340
10132		AR	ARTWORK	Y	375
10133		AR	ARTWORK	Y	486
10134		AR	ARTWORK	Y	195
10135		AR	ARTWORK	Y	340
10136		AR	ARTWORK	Y	375
10137		AR	ARTWORK	Y	540
10138		AR	ARTWORK	Y	195
10139		AR	ARTWORK	Y	306
10140		AR	ARTWORK	Y	337
10141		AR	ARTWORK	Y	486
10142		AR	ARTWORK	Y	195
10143		AR	ARTWORK	Y	340
10144		AR	ARTWORK	Y	375
10145		AR	ARTWORK	Y	540
10146		AR	ARTWORK	Y	195
10147		AR	ARTWORK	Y	340
10148		AR	ARTWORK	Y	375
10149		AR	ARTWORK	Y	540
10150		AR	ARTWORK	Y	195
10151		AR	ARTWORK	Y	340
10152		AR	ARTWORK	Y	375
10153		AR	ARTWORK	Y	195
10154		AR	ARTWORK	Y	340
10155		AR	ARTWORK	Y	375
10156		AR	ARTWORK	Y	513
10157		AR	ARTWORK	Y	195
10158		AR	ARTWORK	Y	340
10159		AR	ARTWORK	Y	375
10160		AR	ARTWORK	Y	540
10161		AR	ARTWORK	Y	195
10162		AR	ARTWORK	Y	340
10163		AR	ARTWORK	Y	375
10164		AR	ARTWORK	Y	540
10165		AR	ARTWORK	Y	195
10166		AR	ARTWORK	Y	340
10167		AR	ARTWORK	Y	375
10168		AR	ARTWORK	Y	540
10169		GA	GAME	Y	6
10170		AR	ARTWORK	Y	195
10171		AR	ARTWORK	Y	340
10172		AR	ARTWORK	Y	500
10173		AR	ARTWORK	Y	195
10174		AR	ARTWORK	Y	340
10175		AR	ARTWORK	Y	340
10176		AR	ARTWORK	Y	540
10177		AR	ARTWORK	Y	450
10178		AR	ARTWORK	Y	195
10179		AR	ARTWORK	Y	229
10180		AR	ARTWORK	Y	486
10181		AR	ARTWORK	Y	195
10182		AR	ARTWORK	Y	340
10183		AR	ARTWORK	Y	340
10184		AR	ARTWORK	Y	540
10185		AR	ARTWORK	Y	195
10186		AR	ARTWORK	Y	340
10187		AR	ARTWORK	Y	195
10188		AR	ARTWORK	Y	340
10189		AR	ARTWORK	Y	337
10190		AR	ARTWORK	Y	486
10191		AR	ARTWORK	Y	450
10192		AR	ARTWORK	Y	598
10193		AR	ARTWORK	Y	195
10194		AR	ARTWORK	Y	340
10195		AR	ARTWORK	Y	375
10196		AR	ARTWORK	Y	486
10197		AR	ARTWORK	Y	195
10198		AR	ARTWORK	Y	340
10199		AR	ARTWORK	Y	375
10200		AR	ARTWORK	Y	540
10201		AR	ARTWORK	Y	495
10202		AR	ARTWORK	Y	745
10203		AR	ARTWORK	Y	195
10204		AR	ARTWORK	Y	340
10205		AR	ARTWORK	Y	375
10206		AR	ARTWORK	Y	195
10207		AR	ARTWORK	Y	340
10208		AR	ARTWORK	Y	337
10209		AR	ARTWORK	Y	540
10210		AR	ARTWORK	Y	195
10211		AR	ARTWORK	Y	340
10212		AR	ARTWORK	Y	375
10213		AR	ARTWORK	Y	540
10214		AR	ARTWORK	Y	195
10215		AR	ARTWORK	Y	340
10216		AR	ARTWORK	Y	337
10217		AR	ARTWORK	Y	540
10218		AR	ARTWORK	Y	450
10219		AR	ARTWORK	Y	195
10220		AR	ARTWORK	Y	340
10221		AR	ARTWORK	Y	333
10222		AR	ARTWORK	Y	486
10223		AR	ARTWORK	N	450
10224		AR	ARTWORK	Y	195
10225		AR	ARTWORK	Y	195
10226		AR	ARTWORK	Y	340
10227		AR	ARTWORK	Y	500
10228		AR	ARTWORK	Y	195
10229		AR	ARTWORK	Y	340
10230		AR	ARTWORK	Y	175
10231		AR	ARTWORK	Y	375
10232		AR	ARTWORK	Y	486
10233		AR	ARTWORK	Y	195
10234		AR	ARTWORK	Y	340
10235		AR	ARTWORK	Y	375
10236		AR	ARTWORK	Y	195
10237		AR	ARTWORK	Y	340
10238		AR	ARTWORK	Y	375
10239		AR	ARTWORK	Y	540
10240		AR	ARTWORK	Y	195
10241		AR	ARTWORK	Y	340
10242		AR	ARTWORK	Y	540
10243		AR	ARTWORK	Y	175
10244		AR	ARTWORK	Y	306
10245		AR	ARTWORK	Y	540
10246		AR	ARTWORK	Y	195
10247		AR	ARTWORK	Y	340
10248		AR	ARTWORK	Y	337
10249		AR	ARTWORK	Y	540
10250		AR	ARTWORK	Y	195
10251		AR	ARTWORK	Y	340
10252		AR	ARTWORK	Y	300
10253		AR	ARTWORK	Y	540
10254		AR	ARTWORK	Y	195
10255		AR	ARTWORK	Y	306
10256		AR	ARTWORK	Y	486
10257		AR	ARTWORK	Y	195
10258		AR	ARTWORK	Y	306
10259		AR	ARTWORK	Y	540
10260		AR	ARTWORK	Y	195
10261		AR	ARTWORK	Y	340
10262		AR	ARTWORK	Y	375
10263		AR	ARTWORK	Y	486
10264		AR	ARTWORK	Y	173
10265		AR	ARTWORK	Y	195
10266		AR	ARTWORK	Y	340
10267		AR	ARTWORK	Y	540
10268		AR	ARTWORK	Y	195
10269		AR	ARTWORK	Y	340
10270		AR	ARTWORK	Y	375
10271		AR	ARTWORK	Y	540
10272		AR	ARTWORK	Y	195
10273		AR	ARTWORK	Y	340
10274		AR	ARTWORK	Y	342
10275		AR	ARTWORK	Y	540
10276		AR	ARTWORK	Y	195
10277		AR	ARTWORK	Y	540
10278		AR	ARTWORK	Y	195
10279		AR	ARTWORK	Y	495
10280		AR	ARTWORK	Y	745
10281		AR	ARTWORK	Y	340
10282		AR	ARTWORK	Y	375
10283		AR	ARTWORK	Y	460
10284		AR	ARTWORK	Y	195
10285		AR	ARTWORK	Y	340
10286		AR	ARTWORK	Y	375
10287		AR	ARTWORK	Y	460
10288		AR	ARTWORK	Y	195
10289		AR	ARTWORK	Y	340
10290		AR	ARTWORK	Y	375
10291		AR	ARTWORK	Y	460
10292		AR	ARTWORK	Y	195
10293		AR	ARTWORK	Y	375
10294		AR	ARTWORK	Y	433
10295		AR	ARTWORK	Y	195
10296		AR	ARTWORK	Y	340
10297		AR	ARTWORK	Y	295
10298		AR	ARTWORK	Y	414
10299		AR	ARTWORK	Y	195
10300		AR	ARTWORK	Y	340
10301		AR	ARTWORK	Y	540
10302		AR	ARTWORK	Y	337
10303		AR	ARTWORK	Y	195
10304		AR	ARTWORK	Y	459
10305		AR	ARTWORK	Y	195
10306		AR	ARTWORK	Y	340
10307		AR	ARTWORK	Y	375
10308		AR	ARTWORK	Y	540
10309		AR	ARTWORK	Y	195
10310		AR	ARTWORK	Y	195
10311		AR	ARTWORK	Y	327
10312		AR	ARTWORK	Y	375
10313		AR	ARTWORK	Y	479
10314		AR	ARTWORK	Y	195
10315		AR	ARTWORK	Y	195
10316		AR	ARTWORK	Y	195
10317		AR	ARTWORK	Y	306
10318		AR	ARTWORK	Y	375
10319		AR	ARTWORK	Y	540
10320		AR	ARTWORK	Y	195
10321		AR	ARTWORK	Y	306
10322		AR	ARTWORK	Y	195
10323		AR	ARTWORK	Y	340
10324		AR	ARTWORK	Y	375
10325		AR	ARTWORK	Y	540
10326		AR	ARTWORK	Y	195
10327		AR	ARTWORK	Y	195
10328		AR	ARTWORK	Y	340
10329		AR	ARTWORK	Y	337
10330		AR	ARTWORK	Y	195
10331		AR	ARTWORK	Y	195
10332		AR	ARTWORK	Y	340
10333		AR	ARTWORK	Y	375
10334		AR	ARTWORK	Y	195
10335		AR	ARTWORK	Y	340
10336		AR	ARTWORK	Y	375
10337		AR	ARTWORK	Y	540
10338		AR	ARTWORK	Y	195
10339		AR	ARTWORK	Y	195
10340		AR	ARTWORK	Y	340
10341		AR	ARTWORK	Y	375
10342		AR	ARTWORK	Y	540
10343		AR	ARTWORK	Y	195
10344		AR	ARTWORK	Y	340
10345		AR	ARTWORK	Y	375
10346		AR	ARTWORK	Y	540
10347		AR	ARTWORK	Y	195
10348		AR	ARTWORK	Y	340
10349		AR	ARTWORK	Y	375
10350		AR	ARTWORK	Y	540
10351		AR	ARTWORK	Y	195
10352		AR	ARTWORK	Y	195
10353		AR	ARTWORK	Y	195
10354		AR	ARTWORK	Y	500
10355		AR	ARTWORK	Y	195
10356		AR	ARTWORK	Y	195
10357		AR	ARTWORK	Y	340
10358		AR	ARTWORK	Y	195
10359		AR	ARTWORK	Y	340
10360		AR	ARTWORK	Y	540
10361		AR	ARTWORK	Y	195
10362		AR	ARTWORK	Y	495
10363		AR	ARTWORK	Y	745
10364		AR	ARTWORK	Y	340
10365		AR	ARTWORK	Y	375
10366		AR	ARTWORK	Y	540
10367		AR	ARTWORK	Y	215
10368		AR	ARTWORK	Y	340
10369		AR	ARTWORK	Y	337
10370		AR	ARTWORK	Y	540
10371		AR	ARTWORK	Y	195
10372		AR	ARTWORK	Y	195
10373		AR	ARTWORK	Y	340
10374		AR	ARTWORK	Y	195
10375		AR	ARTWORK	Y	340
10376		AR	ARTWORK	Y	195
10377		AR	ARTWORK	Y	340
10378		AR	ARTWORK	Y	195
10379		AR	ARTWORK	Y	195
10380		AR	ARTWORK	Y	175
10381		AR	ARTWORK	Y	340
10382		AR	ARTWORK	Y	295
10383		AR	ARTWORK	Y	340
10384		AR	ARTWORK	Y	500
10385		AR	ARTWORK	Y	195
10386		AR	ARTWORK	Y	340
10387		AR	ARTWORK	Y	195
10388		AR	ARTWORK	Y	500
10389		AR	ARTWORK	Y	620
10390		AR	ARTWORK	Y	195
10391		AR	ARTWORK	Y	195
10392		AR	ARTWORK	Y	340
10393		AR	ARTWORK	Y	375
10394		AR	ARTWORK	Y	195
10395		AR	ARTWORK	Y	375
10396		AR	ARTWORK	Y	540
10397		AR	ARTWORK	Y	177
10398		AR	ARTWORK	Y	323
10399		AR	ARTWORK	Y	540
10400		AR	ARTWORK	Y	195
10401		AR	ARTWORK	Y	340
10402		AR	ARTWORK	Y	375
10403		AR	ARTWORK	Y	540
10404		AR	ARTWORK	Y	195
10405		AR	ARTWORK	Y	306
10406		AR	ARTWORK	Y	375
10407		AR	ARTWORK	Y	540
10408		AR	ARTWORK	Y	195
10409		AR	ARTWORK	Y	340
10410		AR	ARTWORK	Y	375
10411		AR	ARTWORK	Y	540
10412		AR	ARTWORK	Y	195
10413		AR	ARTWORK	Y	340
10414		AR	ARTWORK	Y	375
10415		AR	ARTWORK	Y	540
10416		AR	ARTWORK	Y	195
10417		AR	ARTWORK	Y	340
10418		AR	ARTWORK	Y	375
10419		AR	ARTWORK	Y	540
10420		AR	ARTWORK	Y	195
10421		AR	ARTWORK	Y	340
10422		AR	ARTWORK	Y	540
10423		AR	ARTWORK	Y	2500
10424		AR	ARTWORK	Y	1250
10425		AR	ARTWORK	Y	1800
10426		AR	ARTWORK	Y	1600
10427		AR	ARTWORK	Y	1000
10428		AR	ARTWORK	Y	195
10429		AR	ARTWORK	Y	265
10430		AR	ARTWORK	Y	540
10431		AR	ARTWORK	Y	195
10432		AR	ARTWORK	Y	340
10433		AR	ARTWORK	Y	295
10434		AR	ARTWORK	Y	540
10435		AR	ARTWORK	Y	195
10436		AR	ARTWORK	Y	195
10437		AR	ARTWORK	Y	306
10438		AR	ARTWORK	Y	414
10439		AR	ARTWORK	Y	195
10440		AR	ARTWORK	Y	195
10441		AR	ARTWORK	Y	340
10442		AR	ARTWORK	Y	540
10443		AR	ARTWORK	Y	195
10444		AR	ARTWORK	Y	340
10445		AR	ARTWORK	Y	375
10446		AR	ARTWORK	Y	195
10447		AR	ARTWORK	N	306
10448		AR	ARTWORK	Y	340
10449		AR	ARTWORK	Y	375
10450		AR	ARTWORK	Y	540
10451		AR	ARTWORK	Y	195
10452		AR	ARTWORK	Y	195
10453		AR	ARTWORK	Y	340
10454		AR	ARTWORK	Y	375
10455		AR	ARTWORK	Y	460
10456		AR	ARTWORK	Y	340
10457		AR	ARTWORK	Y	375
10458		AR	ARTWORK	Y	540
10459		AR	ARTWORK	Y	195
10460		AR	ARTWORK	Y	340
10461		AR	ARTWORK	Y	375
10462		AR	ARTWORK	Y	540
10463		AR	ARTWORK	Y	195
10464		AR	ARTWORK	Y	340
10465		AR	ARTWORK	Y	375
10466		AR	ARTWORK	Y	540
10467		AR	ARTWORK	Y	195
10468		AR	ARTWORK	Y	340
10469		AR	ARTWORK	Y	375
10470		AR	ARTWORK	Y	540
10471		AR	ARTWORK	Y	195
10472		AR	ARTWORK	Y	340
10473		AR	ARTWORK	Y	375
10474		AR	ARTWORK	Y	540
10475		AR	ARTWORK	Y	195
10476		AR	ARTWORK	Y	459
10477		AR	ARTWORK	Y	745
10478		AR	ARTWORK	Y	340
10479		AR	ARTWORK	Y	375
10480		AR	ARTWORK	Y	540
10481		AR	ARTWORK	Y	195
10482		AR	ARTWORK	Y	340
10483		AR	ARTWORK	Y	337
10484		AR	ARTWORK	Y	540
10485		AR	ARTWORK	Y	195
10486		AR	ARTWORK	Y	323
10487		AR	ARTWORK	Y	195
10488		AR	ARTWORK	Y	340
10489		AR	ARTWORK	Y	375
10490		AR	ARTWORK	Y	486
10491		AR	ARTWORK	Y	337
10492		AR	ARTWORK	Y	195
10493		AR	ARTWORK	Y	175
10494		AR	ARTWORK	Y	195
10495		AR	ARTWORK	Y	195
10496		AR	ARTWORK	Y	340
10497		AR	ARTWORK	Y	195
10498		AR	ARTWORK	Y	340
10499		AR	ARTWORK	Y	375
10500		AR	ARTWORK	Y	195
10501		AR	ARTWORK	Y	340
10502		AR	ARTWORK	Y	337
10503		AR	ARTWORK	Y	486
10504		AR	ARTWORK	Y	486
10505		AR	ARTWORK	Y	195
10506		AR	ARTWORK	Y	340
10507		AR	ARTWORK	Y	375
10508		AR	ARTWORK	Y	540
10509		AR	ARTWORK	Y	195
10510		AR	ARTWORK	Y	340
10511		AR	ARTWORK	Y	375
10512		AR	ARTWORK	Y	540
10513		AR	ARTWORK	Y	195
10514		AR	ARTWORK	Y	340
10515		AR	ARTWORK	Y	375
10516		AR	ARTWORK	Y	540
10517		AR	ARTWORK	Y	195
10518		AR	ARTWORK	Y	340
10519		AR	ARTWORK	Y	375
10520		AR	ARTWORK	Y	540
10521		AR	ARTWORK	Y	195
10522		AR	ARTWORK	Y	340
10523		AR	ARTWORK	Y	337
10524		AR	ARTWORK	Y	540
10525		AR	ARTWORK	Y	195
10526		AR	ARTWORK	Y	195
10527		AR	ARTWORK	Y	340
10528		AR	ARTWORK	Y	375
10529		AR	ARTWORK	Y	319
10530		AR	ARTWORK	Y	900
10531		AR	ARTWORK	Y	550
10532		AR	ARTWORK	Y	525
10533		AR	ARTWORK	Y	1200
10534		AR	ARTWORK	Y	900
10535		AR	ARTWORK	Y	550
10536		AR	ARTWORK	Y	700
10537		AR	ARTWORK	Y	375
10538		AR	ARTWORK	Y	900
10539		AR	ARTWORK	Y	1000
10540		AR	ARTWORK	Y	2250
10541		AR	ARTWORK	Y	800
10542		AR	ARTWORK	Y	900
10543		AR	ARTWORK	Y	1600
10544		AR	ARTWORK	Y	900
10545		AR	ARTWORK	Y	1080
10546		AR	ARTWORK	Y	900
10547		AR	ARTWORK	Y	1000
10548		AR	ARTWORK	Y	700
10549		AR	ARTWORK	Y	1000
10550		AR	ARTWORK	Y	1642
10551		AR	ARTWORK	Y	900
10552		AR	ARTWORK	Y	1600
10553		AR	ARTWORK	Y	630
10554		AR	ARTWORK	Y	550
10555		AR	ARTWORK	Y	700
10556		AR	ARTWORK	Y	495
10557		AR	ARTWORK	Y	1000
10558		AR	ARTWORK	Y	1550
10559		AR	ARTWORK	Y	900
10560		AR	ARTWORK	Y	300
10561		AR	ARTWORK	Y	1175
10562		AR	ARTWORK	Y	1000
10563		AR	ARTWORK	Y	1550
10564		AR	ARTWORK	Y	850
10565		AR	ARTWORK	Y	1000
10566		AR	ARTWORK	Y	1750
10567		AR	ARTWORK	Y	700
10568		AR	ARTWORK	Y	1280
10569		AR	ARTWORK	Y	900
10570		AR	ARTWORK	Y	1440
10571		AR	ARTWORK	Y	550
10572		AR	ARTWORK	Y	859
10573		AR	ARTWORK	Y	625
10574		AR	ARTWORK	Y	2250
10575		AR	ARTWORK	Y	1000
10576		AR	ARTWORK	Y	1000
10577		AR	ARTWORK	Y	1550
10578		AR	ARTWORK	Y	1000
10579		AR	ARTWORK	Y	1710
10580		AR	ARTWORK	Y	350
10581		AR	ARTWORK	Y	800
10582		AR	ARTWORK	Y	350
10583		AR	ARTWORK	Y	900
10584		AR	ARTWORK	Y	195
10585		AR	ARTWORK	Y	195
10586		AR	ARTWORK	Y	323
10587		AR	ARTWORK	Y	195
10588		AR	ARTWORK	Y	340
10589		AR	ARTWORK	Y	195
10590		AR	ARTWORK	Y	340
10591		AR	ARTWORK	Y	195
10592		AR	ARTWORK	Y	195
10593		AR	ARTWORK	Y	495
10594		AR	ARTWORK	Y	745
10595		AR	ARTWORK	Y	340
10596		AR	ARTWORK	Y	375
10597		AR	ARTWORK	Y	540
10598		AR	ARTWORK	Y	195
10599		AR	ARTWORK	Y	495
10600		AR	ARTWORK	Y	745
10601		AR	ARTWORK	Y	340
10602		AR	ARTWORK	Y	375
10603		AR	ARTWORK	Y	540
10604		AR	ARTWORK	Y	195
10605		AR	ARTWORK	Y	670
10606		AR	ARTWORK	Y	340
10607		AR	ARTWORK	Y	337
10608		AR	ARTWORK	Y	486
10609		AR	ARTWORK	Y	195
10610		AR	ARTWORK	Y	310
10611		AR	ARTWORK	Y	337
10612		AR	ARTWORK	Y	540
10613		AR	ARTWORK	Y	195
10614		AR	ARTWORK	Y	445
10615		AR	ARTWORK	Y	745
10616		AR	ARTWORK	Y	340
10617		AR	ARTWORK	Y	375
10618		AR	ARTWORK	Y	540
10619		AR	ARTWORK	Y	1400
10620		AR	ARTWORK	Y	340
10621		AR	ARTWORK	Y	375
10622		AR	ARTWORK	Y	540
10623		AR	ARTWORK	Y	195
10624		AR	ARTWORK	Y	340
10625		AR	ARTWORK	Y	337
10626		AR	ARTWORK	Y	540
10627		AR	ARTWORK	Y	195
10628		AR	ARTWORK	Y	340
10629		AR	ARTWORK	Y	375
10630		AR	ARTWORK	Y	540
10631		AR	ARTWORK	Y	195
10632		AR	ARTWORK	Y	375
10633		AR	ARTWORK	Y	195
10634		AR	ARTWORK	Y	340
10635		AR	ARTWORK	Y	375
10636		AR	ARTWORK	Y	540
10637		AR	ARTWORK	Y	500
10638		AR	ARTWORK	Y	631
10639		AR	ARTWORK	Y	675
10640		AR	ARTWORK	Y	195
10641		AR	ARTWORK	Y	340
10642		AR	ARTWORK	Y	375
10643		AR	ARTWORK	Y	540
10644		AR	ARTWORK	Y	500
10645		AR	ARTWORK	Y	645
10646		AR	ARTWORK	Y	675
10647		AR	ARTWORK	Y	840
10648		AR	ARTWORK	Y	495
10649		AR	ARTWORK	Y	745
10650		AR	ARTWORK	Y	800
10651		AR	ARTWORK	Y	945
10652		AR	ARTWORK	Y	195
10653		AR	ARTWORK	Y	340
10654		AR	ARTWORK	Y	375
10655		AR	ARTWORK	Y	540
10656		AR	ARTWORK	N	450
10657		AR	ARTWORK	Y	195
10658		AR	ARTWORK	Y	195
10659		AR	ARTWORK	Y	375
10660		AR	ARTWORK	Y	513
10661		AR	ARTWORK	N	450
10662		AR	ARTWORK	N	607
10663		AR	ARTWORK	Y	195
10664		AR	ARTWORK	Y	340
10665		AR	ARTWORK	Y	340
10666		AR	ARTWORK	Y	375
10667		AR	ARTWORK	Y	540
10668		AR	ARTWORK	Y	195
10669		AR	ARTWORK	Y	340
10670		AR	ARTWORK	Y	375
10671		AR	ARTWORK	Y	540
10672		AR	ARTWORK	Y	195
10673		AR	ARTWORK	Y	540
10674		AR	ARTWORK	Y	195
10675		AR	ARTWORK	Y	340
10676		AR	ARTWORK	Y	375
10677		AR	ARTWORK	Y	540
10678		AR	ARTWORK	Y	195
10679		AR	ARTWORK	Y	340
10680		AR	ARTWORK	Y	375
10681		AR	ARTWORK	Y	540
10682		AR	ARTWORK	Y	195
10683		AR	ARTWORK	Y	340
10684		AR	ARTWORK	Y	540
10685		AR	ARTWORK	Y	195
10686		AR	ARTWORK	Y	340
10687		AR	ARTWORK	Y	375
10688		AR	ARTWORK	Y	540
10689		AR	ARTWORK	Y	195
10690		AR	ARTWORK	Y	340
10691		AR	ARTWORK	Y	486
10692		AR	ARTWORK	Y	195
10693		AR	ARTWORK	Y	195
10694		AR	ARTWORK	Y	340
10695		AR	ARTWORK	Y	375
10696		AR	ARTWORK	Y	513
10697		AR	ARTWORK	Y	195
10698		AR	ARTWORK	Y	445
10699		AR	ARTWORK	Y	745
10700		AR	ARTWORK	Y	340
10701		AR	ARTWORK	Y	375
10702		AR	ARTWORK	Y	540
10703		AR	ARTWORK	Y	540
10704		AR	ARTWORK	Y	195
10705		AR	ARTWORK	Y	340
10706		AR	ARTWORK	Y	375
10707		AR	ARTWORK	Y	195
10708		AR	ARTWORK	Y	340
10709		AR	ARTWORK	Y	375
10710		AR	ARTWORK	Y	540
10711		AR	ARTWORK	Y	195
10712		AR	ARTWORK	Y	340
10713		AR	ARTWORK	Y	195
10714		AR	ARTWORK	Y	340
10715		AR	ARTWORK	Y	375
10716		AR	ARTWORK	Y	540
10717		AR	ARTWORK	Y	175
10718		AR	ARTWORK	Y	340
10719		AR	ARTWORK	Y	375
10720		AR	ARTWORK	Y	195
10721		AR	ARTWORK	Y	340
10722		AR	ARTWORK	Y	486
10723		AR	ARTWORK	Y	486
10724		AR	ARTWORK	Y	195
10725		AR	ARTWORK	Y	195
10726		AR	ARTWORK	Y	340
10727		AR	ARTWORK	N	540
10728		AR	ARTWORK	Y	340
10729		AR	ARTWORK	Y	375
10730		AR	ARTWORK	Y	540
10731		AR	ARTWORK	Y	195
10732		AR	ARTWORK	Y	340
10733		AR	ARTWORK	Y	337
10734		AR	ARTWORK	Y	540
10735		AR	ARTWORK	Y	195
10736		AR	ARTWORK	Y	306
10737		AR	ARTWORK	Y	540
10738		AR	ARTWORK	Y	175
10739		AR	ARTWORK	Y	333
10740		AR	ARTWORK	Y	195
10741		AR	ARTWORK	Y	340
10742		AR	ARTWORK	Y	375
10743		AR	ARTWORK	Y	540
10744		AR	ARTWORK	Y	195
10745		AR	ARTWORK	Y	340
10746		AR	ARTWORK	Y	375
10747		AR	ARTWORK	Y	540
10748		AR	ARTWORK	Y	195
10749		AR	ARTWORK	Y	306
10750		AR	ARTWORK	Y	375
10751		AR	ARTWORK	Y	195
10752		AR	ARTWORK	Y	340
10753		AR	ARTWORK	Y	375
10754		AR	ARTWORK	Y	540
10755		AR	ARTWORK	Y	195
10756		AR	ARTWORK	Y	340
10757		AR	ARTWORK	Y	375
10758		AR	ARTWORK	Y	195
10759		AR	ARTWORK	Y	340
10760		AR	ARTWORK	Y	195
10761		AR	ARTWORK	Y	306
10762		AR	ARTWORK	Y	540
10763		AR	ARTWORK	Y	195
10764		AR	ARTWORK	Y	340
10765		AR	ARTWORK	Y	333
10766		AR	ARTWORK	Y	540
10767		GA	GAME	N	8
10768		GA	GAME	N	9
10769		GA	GAME	Y	9
10770		AR	ARTWORK	Y	195
10771		AR	ARTWORK	Y	340
